Abdon,Abdonie
Chociemir,Chociemirze
Chociesław,Chociesławie
Chrystian,Chrystianie
Chryzant,Chryzancie
Chwalibóg,Chwaliboże
Chwalimir,Chwlimirze
Chwalimira,Chwalimiro
Chwalisław,Chwalisławie
Chwalisława,Chwalisławo
Cibor,Ciborze
Ciechomir,Ciechomirze
Ciechosław,Ciechosławii
Ciechosława,Ciechosławo
Cierpisław,Cierpisławie
Cieszybor,Cieszyborze
Cieszygor,Cieszygorze
Cieszymir,Cieszymirze
Cieszymysł,Cieszymyśle
Cieszyrad,Cieszyrardzie
Cieszysław,Cieszysławie
Cieszysława,Cieszysławo
Cyntia,Cyntio
Cyprian,Cyprianie
Cyriak,Cyriaku
Cyriaka,Cyriako
Cyrus,Cyrusie
Cyryl,Cyrylu
Czcibor,Czciborze
Czcibora,Czciboro
Czcirad,Czciradzie
Czcisław,Czcisławie
Czech,Czechu
Czechasz,Czechaszu
Czechoń,Czechoniu
Czesemir,Czesemirze
Czesław,Czesławie
Czesława,Czesławo
Częstobor,Częstoborze
Częstogniew,Częstogniewie
Częstomir,Częstomirze
Częstowoj,Częstowoju
Dacjan,Dacjanie
Dadąbog,Dadąbogu
Dagmara,Dagmaro
Dagna,Dagno
Dagobert,Dagobercie
Dalebor,Daleborze
Dalegor,Dalegorze
Dalemir,Dalemirze
Dalia,Dalio
Dalida,Dalido
Damazy,Damazy
Damian,Damianie
Dan,Danie
Daniel,Danielu
Daniela,Danielo
Danisz,Daniuszu
Danuta,Danuto
Daria,Dario
Dariusz,Dariuszu
Darosław,Darosławie
Dawid,Dawidzie
Dawida,Dawido
Dąbrówka,Dąbrówko
Delfin,Dalfinie
Delfina,Delfino
Demetria,Demetrio
Demetriusz,Demetriuszu
Demokryt,Demokrycie
Dersław,Deresławie
Dezyderia,Dezyderio
Dezyderiusz,Dezyderiuszu
Dezydery,Dezydery
Diana,Diano
Dianna,Dianno
Dina,Dinno
Diogenes,Diogenesie
Diomada,Diomado
Dionizja,Dionizjo
